City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,paris,48.8534,2.3488,27.28,65,0,4.12,FR,1694961594
141,kingston,17.997,-76.7936,32.36,69,20,1.54,JM,1694961593
142,thompson,55.7435,-97.8558,11.09,100,40,2.06,CA,1694961851
143,cromwell,41.5951,-72.6454,22.23,68,0,2.57,US,1694961851
144,sao felix do xingu,-6.6447,-51.995,37.47,28,1,2.5,BR,1694961852
145,haapsalu,58.9431,23.5414,16.12,69,90,5.61,EE,1694961683
146,port alfred,-33.5906,26.891,17.32,68,10,2.68,ZA,1694961852
147,happy valley-goose bay,53.3168,-60.3315,13.17,94,100,5.66,CA,1694961852
148,vikulovo,56.8167,70.6107,15.06,65,90,1.89,RU,1694961852
149,hermanus,-34.4187,19.2345,14.89,68,5,4.32,ZA,1694961852
150,isafjordur,66.0755,-23.124,10.02,57,40,4.63,IS,1694961853
151,rebrikha,53.0733,82.3408,14.05,72,51,2.2,RU,1694961853
152,acapulco de juarez,16.8634,-99.8901,23.9,83,100,3.6,MX,1694961853
153,kavieng,-2.5744,150.7967,26.48,79,2,4.67,PG,1694961853
154,zabol,32.25,67.25,25.06,16,0,6.46,AF,1694961853
155,san patricio,28.017,-97.5169,27.7,63,20,3.39,US,1694961854
156,nizhnyaya salda,58.0776,60.7202,15.5,65,75,0.72,RU,1694961854
157,mahina,-17.5065,-149.489,23.87,83,40,2.57,PF,1694961854
158,haiku-pauwela,20.9219,-156.3051,24.47,85,75,5.66,US,1694961854
159,zheleznogorsk,52.331,35.3711,18.4,48,3,1.38,RU,1694961800
160,bardai,11.65,7.2333,30.21,53,90,1.83,NG,1694961855
161,maumere,-8.6199,122.2111,24.58,72,11,1.13,ID,1694961855
162,yiyang,28.5892,112.3283,26.84,74,17,2.75,CN,1694961767
163,johi,26.6921,67.6133,38.5,28,67,1.34,PK,1694961855
164,montevallo,33.1007,-86.8642,25.43,88,40,1.54,US,1694961855
165,kebili,33.7044,8.969,38.37,15,0,4.24,TN,1694961855
166,hamilton,39.1834,-84.5333,21.23,79,75,1.54,US,1694961796
167,tolanaro,-25.0319,46.9987,27.04,65,20,6.17,MG,1694961856
168,quiindy,-25.9667,-57.2667,34.46,34,0,7.09,PY,1694961856
169,vadakku valliyur,8.3833,77.65,26.0,81,100,4.12,IN,1694961856
170,argo,37.6333,22.7333,27.66,40,91,2.73,GR,1694961856
171,dunedin,-45.8742,170.5036,10.45,56,46,2.68,NZ,1694961856
172,agaie,9.0167,6.3167,29.73,71,100,1.36,NG,1694961857
173,ugoofaaru,5.6667,73.0,27.6,76,94,4.47,MV,1694961857
174,hadibu,12.65,54.0333,27.65,73,15,6.21,YE,1694961857
175,yinchuan,38.4681,106.2731,22.54,35,100,2.51,CN,1694961510
176,samamiya,11.3487,9.6399,34.61,35,36,3.48,NG,1694961857
177,hawaiian paradise park,19.5933,-154.9731,22.24,99,75,0.0,US,1694961857
178,vanino,49.0869,140.2543,12.92,66,100,1.35,RU,1694961858
179,stara syniava,49.6032,27.6191,23.37,32,0,3.87,UA,1694961858
180,college,64.8569,-147.8028,7.99,81,100,2.57,US,1694961571
181,trairi,-3.2778,-39.2689,32.08,43,8,7.81,BR,1694961858
182,camocim,-2.9022,-40.8411,33.1,46,6,6.18,BR,1694961859
183,izobil'nyy,45.3709,41.7084,19.58,50,75,3.26,RU,1694961859
184,ca mau,9.1769,105.15,25.67,88,37,1.66,VN,1694961859
185,yaren,-0.5472,166.916,27.21,83,100,8.32,NR,1694961859
186,shimoda,34.6667,138.95,25.61,89,9,3.83,JP,1694961859
187,tazacorte,28.629,-17.9293,25.54,71,40,6.69,ES,1694961860
188,lubumbashi,-11.6609,27.4794,32.86,12,8,2.54,CD,1694961860
189,nar'yan-mar,67.6713,53.087,6.05,76,5,2.66,RU,1694961860
190,bodo,67.28,14.405,10.02,76,40,5.66,NO,1694961860
191,kudahuvadhoo,2.6708,72.8944,28.62,75,59,6.22,MV,1694961860
192,pisco,-13.7,-76.2167,20.03,77,76,2.57,PE,1694961860
193,saint-francois,46.4154,3.9054,28.15,54,0,4.63,FR,1694961861
194,zaozersk,69.4005,32.4476,8.11,83,100,2.76,RU,1694961861
195,bolobo,-2.1667,16.2333,28.2,65,92,1.95,CD,1694961861
196,yelizovo,53.1873,158.3805,10.08,71,75,8.05,RU,1694961861
197,tura,25.5198,90.2201,24.89,89,37,1.4,IN,1694961861
198,tutoia,-2.7619,-42.2744,30.56,54,6,7.27,BR,1694961861
199,coquimbo,-29.9533,-71.3436,12.85,94,100,2.06,CL,1694961862
200,xuanzhou,30.9525,118.7553,24.02,85,3,2.16,CN,1694961862
201,estevan,49.1334,-102.9842,15.19,87,0,3.09,CA,1694961862
202,klyuchi,52.2667,79.1667,15.08,67,48,2.21,RU,1694961863
203,nanpiao,41.0982,120.7479,19.07,90,79,2.3,CN,1694961863
204,kuraymah,18.55,31.85,40.62,10,1,4.25,SD,1694961863
205,stenungsund,58.0705,11.8181,20.14,72,13,4.29,SE,1694961863
206,necochea,-38.5473,-58.7368,12.48,52,98,6.19,AR,1694961863
207,rongelap,11.1635,166.8941,28.82,78,100,7.71,MH,1694961864
208,guliston,40.4897,68.7842,22.52,25,37,3.94,UZ,1694961864
209,lata,40.1629,-8.3327,19.9,76,98,4.59,PT,1694961864
210,chaoyang,41.5703,120.4586,19.3,88,99,1.61,CN,1694961864
211,la ronge,55.1001,-105.2842,13.14,71,20,2.57,CA,1694961864
212,musoma,-1.5,33.8,24.59,65,50,3.67,TZ,1694961864
213,mount gambier,-37.8333,140.7667,10.92,93,98,1.41,AU,1694961865
214,la passe,45.5549,-0.8967,25.13,76,100,5.21,FR,1694961865
215,mhlume,-26.0333,31.85,21.47,71,99,3.99,SZ,1694961865
216,howard springs,-12.497,131.047,24.95,70,30,3.82,AU,1694961865
217,zeya,53.75,127.2667,9.04,98,100,1.02,RU,1694961866
218,praia da vitoria,38.7333,-27.0667,23.14,53,75,5.84,PT,1694961866
219,entebbe,0.0644,32.4469,25.02,64,18,3.69,UG,1694961866
220,kitee,62.1,30.15,9.76,90,100,6.6,FI,1694961866
221,yantzaza,-3.8278,-78.7594,28.68,48,55,1.03,EC,1694961867
222,yellowknife,62.456,-114.3525,11.9,97,100,4.12,CA,1694961867
223,quellon,-43.1167,-73.6167,7.79,66,6,3.26,CL,1694961867
224,fiano romano,42.1595,12.5942,32.47,45,100,0.89,IT,1694961867
225,port saint john's,-31.6229,29.5448,18.8,51,21,4.88,ZA,1694961867
226,lebu,-37.6167,-73.65,9.93,60,6,2.73,CL,1694961867
227,chanika,-5.4167,38.0167,25.19,55,86,5.81,TZ,1694961868
228,laguna,38.421,-121.4238,16.83,83,0,4.12,US,1694961868
229,paita,-5.0892,-81.1144,22.74,72,87,5.52,PE,1694961813
230,richards bay,-28.783,32.0377,17.44,72,100,1.87,ZA,1694961574
231,coahuayana de hidalgo,18.7,-103.6583,26.86,80,97,1.46,MX,1694961868
232,tulun,54.5611,100.5792,9.86,74,8,1.74,RU,1694961868
233,tucuma,-0.1833,-50.05,33.09,48,16,4.8,BR,1694961869
234,katsuura,35.1333,140.3,26.45,88,5,6.43,JP,1694961612
